radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,fractal_dimension_mean,area_se,concavity_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,symmetry_worst
17.99,10.38,122.8,1001,0.1184,0.07871,153.4,0.05373,25.38,17.33,184.6,2019,0.1622,0.4601
20.57,17.77,132.9,1326,0.08474,0.05667,74.08,0.0186,24.99,23.41,158.8,1956,0.1238,0.275
19.69,21.25,130,1203,0.1096,0.05999,94.03,0.03832,23.57,25.53,152.5,1709,0.1444,0.3613
11.42,20.38,77.58,386.1,0.1425,0.09744,27.23,0.05661,14.91,26.5,98.87,567.7,0.2098,0.6638
20.29,14.34,135.1,1297,0.1003,0.05883,94.44,0.05688,22.54,16.67,152.2,1575,0.1374,0.2364
12.45,15.7,82.57,477.1,0.1278,0.07613,27.19,0.03672,15.47,23.75,103.4,741.6,0.1791,0.3985
18.25,19.98,119.6,1040,0.09463,0.05742,53.91,0.02254,22.88,27.66,153.2,1606,0.1442,0.3063
13.71,20.83,90.2,577.9,0.1189,0.07451,50.96,0.02488,17.06,28.14,110.6,897,0.1654,0.3196
13,21.82,87.5,519.8,0.1273,0.07389,24.32,0.03553,15.49,30.73,106.2,739.3,0.1703,0.4378
12.46,24.04,83.97,475.9,0.1186,0.08243,23.94,0.07743,15.09,40.68,97.65,711.4,0.1853,0.4366
16.02,23.24,102.7,797.8,0.08206,0.05697,40.51,0.01101,19.19,33.88,123.8,1150,0.1181,0.2948
15.78,17.89,103.6,781,0.0971,0.06082,54.16,0.02791,20.42,27.28,136.5,1299,0.1396,0.3792
19.17,24.8,132.4,1123,0.0974,0.078,116.2,0.0889,20.96,29.94,151.7,1332,0.1037,0.3176
15.85,23.95,103.7,782.7,0.08401,0.05338,36.58,0.05051,16.84,27.66,112,876.5,0.1131,0.2809
13.73,22.61,93.6,578.3,0.1131,0.07682,19.21,0.05501,15.03,32.01,108.8,697.7,0.1651,0.3596
14.54,27.54,96.73,658.8,0.1139,0.07077,32.55,0.04741,17.46,37.13,124.1,943.2,0.1678,0.4218
14.68,20.13,94.74,684.5,0.09867,0.05922,45.4,0.01998,19.07,30.88,123.4,1138,0.1464,0.3029
16.13,20.68,108.1,798.8,0.117,0.07356,54.18,0.03188,20.96,31.48,136.8,1315,0.1789,0.3706
19.81,22.15,130,1260,0.09831,0.05395,112.4,0.03391,27.32,30.88,186.8,2398,0.1512,0.2768
13.54,14.36,87.46,566.3,0.09779,0.05766,23.56,0.02387,15.11,19.26,99.7,711.2,0.144,0.2977
13.08,15.71,85.63,520,0.1075,0.06811,14.67,0.01698,14.5,20.49,96.09,630.5,0.1312,0.3184
9.504,12.44,60.34,273.9,0.1024,0.06905,15.7,0.01985,10.23,15.66,65.13,314.9,0.1324,0.245
15.34,14.26,102.5,704.4,0.1073,0.07032,44.91,0.06446,18.07,19.08,125.1,980.9,0.139,0.4667
21.16,23.04,137.2,1404,0.09428,0.05278,93.99,0.01715,29.17,35.59,188,2615,0.1401,0.2822
16.65,21.38,110,904.6,0.1121,0.0633,102.6,0.02741,26.46,31.56,177,2215,0.1805,0.3613
17.14,16.4,116,912.7,0.1186,0.07413,111.4,0.03732,22.25,21.4,152.4,1461,0.1545,0.4066
14.58,21.53,97.41,644.8,0.1054,0.06924,21.05,0.02681,17.62,33.21,122.4,896.9,0.1525,0.4264
18.61,20.25,122.1,1094,0.0944,0.05699,93.54,0.05081,21.31,27.26,139.9,1403,0.1338,0.2341
15.3,25.27,102.4,732.4,0.1082,0.0654,43.5,0.03576,20.27,36.71,149.3,1269,0.1641,0.4027
17.57,15.05,115,955.1,0.09847,0.06149,61.1,0.03407,20.01,19.52,134.9,1227,0.1255,0.2756
18.63,25.11,124.8,1088,0.1064,0.06197,105,0.05196,23.15,34.01,160.5,1670,0.1491,0.3444
11.84,18.7,77.93,440.6,0.1109,0.07799,41,0.04205,16.82,28.12,119.4,888.7,0.1637,0.4761
17.02,23.98,112.8,899.3,0.1197,0.06382,67.78,0.05042,20.88,32.09,136.1,1344,0.1634,0.353
19.27,26.47,127.9,1162,0.09401,0.06261,68.17,0.03497,24.15,30.9,161.4,1813,0.1509,0.3672
16.13,17.88,107,807.2,0.104,0.06515,35.03,0.02664,20.21,27.26,132.7,1261,0.1446,0.427
